iter	RMSE
165	620533.325
166	619935.8996
167	619811.7969
168	618811.7414
169	618128.2243
170	617110.7058
171	616512.7005
172	616389.1256
173	615454.6902
174	614929.5423
175	614188.9426
176	613765.8972
177	612849.9793
178	612131.6323
179	610627.4748
180	608811.6406
181	608512.5435
182	608284.7295
183	608184.3615
184	605921.5819
185	605635.2857
186	604419.1195
187	603662.0307
188	603492.6715
189	602224.9883
190	601263.8079
191	600979.5825
192	600423.2499
193	599672.6762
194	599364.9679
195	598731.0569
196	596664.5689
197	595748.4895
198	594826.8969
199	594268.4819
200	594098.2482
201	593639.7381
202	592065.0325
203	590804.8235
204	590713.425
205	590542.8599
206	590408.8707
207	590231.6302
208	588586.0443
209	586587.3968
210	585454.7676
211	583530.0499
212	581868.514
213	581121.8287
214	579780.281
215	578098.944
216	575899.8364
217	575331.8129
218	575209.1156
219	574753.6329
220	573999.1813
221	573152.7807
222	572678.378
223	570846.1704
224	570426.4193
225	568402.5723
226	568262.2004
227	567953.5164
228	566549.514
229	566213.4443
230	564963.4035
231	564739.3799
232	564238.4966
233	562450.5814
234	560617.8862
235	559777.4907
236	558532.5262
237	558187.2697
238	556411.7689
239	556320.9002
240	554399.1132
241	553201.88
242	551885.9754
243	550064.0064
244	548745.4056
245	547117.2934
246	546637.5236
247	545429.3272
248	545257.5454
249	545135.7934
250	544007.4221
251	542587.8973
252	542415.4936
253	542247.1298
254	540620.9531
255	540460.4837
256	539811.845
257	538441.1402
258	538334.0537
259	537938.8163
260	536531.3041
261	535020.9388
262	534014.5509
263	532683.2852
264	530883.5119
265	529696.5598
266	529289.241
267	529139.5296
268	527875.6474
269	526660.7512
270	525491.5764
271	525419.8033
272	524935.2634
273	523827.274
274	522236.0282
275	521874.0649
276	520317.6797
277	519231.9845
278	518138.8483
279	516342.9184
280	516210.5942
281	516083.7956
282	515084.8187
283	513426.0671
284	513052.7357
285	511981.9622
286	511849.9502
287	511588.1659
288	511074.634
289	509435.6027
290	507734.7957
291	507175.036
292	507077.4278
293	505766.5614
294	504421.1544
295	503721.7489
296	503347.0151
297	503276.5912
298	502364.8054
299	501657.0242
300	500359.6946
301	498754.7669
302	498041.9555
303	496829.6345
304	495885.0069
305	495589.6637
306	494015.0924
307	493895.619
308	492446.2805
309	491368.1763
310	491259.3746
311	489915.1505
312	489035.99
313	487926.7272
314	487206.0633
315	486503.4561
316	486048.465
317	485930.0903
318	484845.7671
319	484068.67
320	483954.1397
321	483273.2004
322	482361.5307
323	480863.9451
324	480218.1489
325	479132.8858
326	478179.4041
327	477379.0097
328	476699.1898
329	475702.561
330	474501.4753
331	473802.5151
332	472767.5165
333	471715.6901
334	471664.3552
335	471165.6475
336	470242.8407
337	468803.7663
338	468161.1671
339	467324.9351
340	466472.6294
341	465876.3567
342	465202.2702
343	465138.1108
344	464516.3227
345	464214.6985
346	463409.7229
347	462664.3476
348	461638.7831
349	460872.1151
350	460425.3911
351	460213.4805
352	459916.3802
353	459661.5745
354	459463.3246
355	458687.9745
356	457438.9983
357	457132.6644
358	456339.597
359	455804.4455
360	455771.2999
361	455109.9608
362	454761.0779
363	454627.6055
364	453907.0579
365	453121.5281
366	452843.2682
367	452739.1831
368	452025.1276
369	450849.3397
370	450199.9174
371	449821.3256
372	449138.537
373	448338.1287
374	448021.009
375	447457.3606
376	446946.3356
377	446031.8588
378	444923.4262
379	444317.9371
380	443442.4638
381	442706.9898
382	442279.9454
383	441367.5987
384	440865.272
385	440121.1633
386	439477.1091
387	438857.5945
388	438525.775
389	438259.4049
390	437554.9616
391	437240.308
392	436964.639
393	435626.708
394	434800.5297
395	434058.992
396	433196.4069
397	432965.9043
398	432875.7425
399	431940.0123
400	431739.7649
401	430597.037
402	430284.8464
403	430167.9002
404	429406.8103
405	429034.6243
406	428613.0577
407	428402.1196
408	427266.7978
409	426864.6518
410	426563.0615
411	425905.6972
412	425823.6213
413	425145.5874
414	424372.8895
415	423311.2583
416	422558.936
417	422100.992
418	421450.7698
419	421395.2961
420	420323.8826
421	420177.618
422	420032.0298
423	419954.2513
424	419663.3611
425	419320.2171
426	418815.2465
427	418457.2994
428	418386.1866
429	418200.0594
430	417867.8369
431	417396.6785
432	416845.8208
433	416794.8669
434	416554.4835
435	416230.6276
436	415674.2246
437	415076.7622
438	414584.5156
439	414345.5859
440	414051.2113
441	413144.7774
442	412587.8991
443	412300.6737
444	412015.0891
445	411308.5442
446	410632.4553
447	410356.2815
448	409475.7046
449	408819.7764
450	408205.5367
451	408023.8353
452	407088.8592
453	406998.6091
454	406795.4784
455	406641.9891
456	406338.1715
457	405929.4894
458	405678.4845
459	405495.1552
460	405055.7136
461	404822.2305
462	404233.3463
463	403768.4815
464	402434.8724
465	402201.7054
466	401539.7437
467	400752.4117
468	400023.3896
469	399810.6837
470	399363.3363
471	398934.111
472	398795.4798
473	398675.4374
474	398408.444
475	398202.4956
476	397795.6209
477	397085.0247
478	396876.5267
479	396718.0084
480	395976.5217
481	395495.2103
482	394335.0843
483	393929.6917
484	393748.6652
485	393124.0003
486	392544.8258
487	391809.9913
488	391291.2552
489	391232.3685
490	391054.409
491	390070.702
492	389596.0747
493	389127.5382
494	388510.1349
495	388078.3787
496	387977.069
497	387599.1199
498	387291.6607
499	386205.962
